Date,Open,High,Low,Close,Adj Close,Volume
9/21/2018,800,820,795,820,797.252136,90191400
9/24/2018,825,830,800,800,777.806946,85676100
9/25/2018,795,810,790,805,782.668335,33820000
9/26/2018,810,815,800,805,782.668335,26522800
9/27/2018,805,845,800,835,811.83606,121821300
9/28/2018,840,855,830,845,821.558655,117168800
10/1/2018,845,845,820,825,802.113464,46380400
10/2/2018,820,825,795,795,772.94574,70836100
10/3/2018,805,815,795,810,787.529541,33628000
10/4/2018,815,820,795,800,777.806946,64982700
10/5/2018,790,805,790,800,777.806946,32173200
10/8/2018,805,830,800,810,787.529541,67517200
10/9/2018,810,820,800,810,787.529541,21828100
10/10/2018,820,820,810,820,797.252136,35832700
10/11/2018,800,800,785,785,763.223083,60716400
10/12/2018,785,805,785,795,772.94574,50812800
10/15/2018,800,800,760,765,743.777954,103162700
10/16/2018,770,775,755,760,738.916626,33977500
10/17/2018,770,790,770,780,758.361816,51076700
10/18/2018,775,780,755,765,743.777954,61519900
10/19/2018,760,780,755,765,743.777954,59274100
10/22/2018,765,775,760,765,743.777954,29023400
10/23/2018,765,770,750,755,734.055359,36483800
10/24/2018,755,760,730,740,719.471497,51771700
10/25/2018,720,730,715,720,700.026306,47540600
10/26/2018,725,730,720,725,704.887573,35077800
10/29/2018,725,730,705,705,685.442383,30060300
10/30/2018,700,705,670,675,656.274597,99346500
10/31/2018,680,685,665,680,661.135925,50382400
11/1/2018,680,705,680,685,665.997253,92372600
11/2/2018,700,705,685,695,675.719788,63297900
11/5/2018,690,695,685,690,670.858521,17071600
11/6/2018,690,700,680,680,661.135925,28148600
11/7/2018,690,705,685,695,675.719788,52473300
11/8/2018,700,720,695,710,690.303711,84546900
11/9/2018,710,715,695,700,680.581055,33748400
11/12/2018,695,700,685,685,665.997253,22863900
11/13/2018,675,695,665,690,670.858521,35992700
11/14/2018,690,695,670,670,651.413391,48399300
11/15/2018,670,680,660,670,651.413391,61467300
11/16/2018,675,695,670,680,661.135925,54547400
