Date,Open,High,Low,Close,Adj Close,Volume
2/19/2019,2560,2660,2510,2610,2549.991943,59416800
2/20/2019,2670,2670,2550,2620,2559.762207,30943600
2/21/2019,2600,2680,2570,2650,2589.072266,16555400
2/22/2019,2650,2650,2570,2640,2579.302246,14537900
2/25/2019,2620,2620,2580,2590,2530.451904,11932100
2/26/2019,2560,2570,2410,2500,2442.52124,31258600
2/27/2019,2500,2530,2360,2400,2344.820068,22082600
2/28/2019,2400,2440,2330,2400,2344.820068,28718100
3/1/2019,2410,2530,2390,2490,2432.750977,23691300
3/4/2019,2510,2530,2420,2450,2393.670654,9909200
3/5/2019,2450,2450,2380,2400,2344.820068,14575000
3/6/2019,2400,2430,2400,2420,2364.360352,3207900
3/7/2019,2420,2420,2420,2420,2364.360352,0
3/8/2019,2410,2430,2310,2350,2295.969971,20327500
3/11/2019,2390,2450,2360,2400,2344.820068,11314900
3/12/2019,2420,2480,2390,2460,2403.440918,11946700
3/13/2019,2520,2670,2480,2620,2559.762207,35771200
3/14/2019,2550,2580,2500,2560,2501.141602,8467900
3/15/2019,2520,2630,2520,2590,2530.451904,12313300
3/18/2019,2580,2720,2570,2700,2637.922852,21103300
3/19/2019,2700,2730,2610,2650,2589.072266,10211800
3/20/2019,2650,2720,2610,2700,2637.922852,13744500
3/21/2019,2730,2760,2670,2680,2618.382568,10669000
3/22/2019,2700,2720,2650,2660,2598.842529,2572000
3/25/2019,2660,2670,2550,2590,2530.451904,8303100
3/26/2019,2580,2700,2580,2680,2618.382568,8179200
3/27/2019,2690,2710,2610,2680,2618.382568,5639200
3/28/2019,2700,2700,2610,2680,2618.382568,6086000
3/29/2019,2680,2700,2620,2680,2618.382568,2525300
4/1/2019,2700,2750,2620,2710,2647.692871,8439600
4/2/2019,2730,2730,2650,2680,2618.382568,4412800
4/3/2019,2680,2680,2680,2680,2618.382568,0
4/4/2019,2670,2700,2620,2630,2569.532227,4286200
4/5/2019,2640,2660,2570,2640,2579.302246,5133300
4/8/2019,2620,2620,2510,2530,2471.831543,7210800
4/9/2019,2530,2570,2520,2550,2491.371582,6235800
4/10/2019,2550,2610,2510,2580,2520.681641,5073500
4/11/2019,2610,2730,2550,2670,2608.612549,12387200
4/12/2019,2710,2890,2710,2810,2745.393555,25336100
4/15/2019,2820,2840,2750,2770,2706.313477,10623500
4/16/2019,2770,2800,2690,2760,2696.543213,19715400
4/17/2019,2760,2760,2760,2760,2696.543213,0
4/18/2019,2820,2880,2790,2850,2784.473877,33758200
4/19/2019,2850,2850,2850,2850,2784.473877,0
